6_2;M4-1.4.19;m4-1.4.19.tar.xz;m4-1.4.19
6_3;Ncurses-6.3;ncurses-6.3.tar.gz;ncurses-6.3
6_4;Bash-5.1.16;bash-5.1.16.tar.gz;bash-5.1.16
6_5;Coreutils-9.0;coreutils-9.0.tar.xz;coreutils-9.0
6_6;Diffutils-3.8;diffutils-3.8.tar.xz;diffutils-3.8
6_7;File-5.41;file-5.41.tar.gz;file-5.41
6_8;Findutils-4.9.0;findutils-4.9.0.tar.xz;findutils-4.9.0
6_9;Gawk-5.1.1;gawk-5.1.1.tar.xz;gawk-5.1.1
6_10;Grep-3.7;grep-3.7.tar.xz;grep-3.7
6_11;Gzip-1.11;gzip-1.11.tar.xz;gzip-1.11
6_12;Make-4.3;make-4.3.tar.gz;make-4.3
6_13;Patch-2.7.6;patch-2.7.6.tar.xz;patch-2.7.6
6_14;Sed-4.8;sed-4.8.tar.xz;sed-4.8
6_15;Tar-1.34;tar-1.34.tar.xz;tar-1.34
6_16;Xz-5.2.5;xz-5.2.5.tar.xz;xz-5.2.5
6_17;Binutils-2.38 - Pass 2;binutils-2.38.tar.xz;binutils-2.38
6_18;GCC-11.2.0 - Pass 2;gcc-11.2.0.tar.xz;gcc-11.2.0
