8_6;Zlib-1.2.11;zlib-1.2.11.tar.xz;zlib-1.2.11
8_7;Bzip2-1.0.8;bzip2-1.0.8.tar.gz;bzip2-1.0.8
8_8;Xz-5.2.5;xz-5.2.5.tar.xz;xz-5.2.5
8_9;Zstd-1.5.2;zstd-1.5.2.tar.gz;zstd-1.5.2
8_10;File-5.41;file-5.41.tar.gz;file-5.41
8_11;Readline-8.1.2;readline-8.1.2.tar.gz;readline-8.1.2
8_12;M4-1.4.19;m4-1.4.19.tar.xz;m4-1.4.19
8_13;Bc-5.2.2;bc-5.2.2.tar.xz;bc-5.2.2
8_14;Flex-2.6.4;flex-2.6.4.tar.gz;flex-2.6.4
8_15;Tcl-8.6.12;tcl8.6.12-src.tar.gz;tcl8.6.12
8_16;Expect-5.45.4;expect5.45.4.tar.gz;expect5.45.4
8_17;DejaGNU-1.6.3;dejagnu-1.6.3.tar.gz;dejagnu-1.6.3
8_18;Binutils-2.38;binutils-2.38.tar.xz;binutils-2.38
8_19;GMP-6.2.1;gmp-6.2.1.tar.xz;gmp-6.2.1
8_20;MPFR-4.1.0;mpfr-4.1.0.tar.xz;mpfr-4.1.0
8_21;MPC-1.2.1;mpc-1.2.1.tar.gz;mpc-1.2.1
8_22;Attr-2.5.1;attr-2.5.1.tar.gz;attr-2.5.1
8_23;Acl-2.3.1;acl-2.3.1.tar.xz;acl-2.3.1
8_24;Libcap-2.63;libcap-2.63.tar.xz;libcap-2.63
8_25;Shadow-4.11.1;shadow-4.11.1.tar.xz;shadow-4.11.1
8_26;GCC-11.2.0;gcc-11.2.0.tar.xz;gcc-11.2.0
8_27;Pkg-config-0.29.2;pkg-config-0.29.2.tar.gz;pkg-config-0.29.2
8_28;Ncurses-6.3;ncurses-6.3.tar.gz;ncurses-6.3
8_29;Sed-4.8;sed-4.8.tar.xz;sed-4.8
8_30;Psmisc-23.4;psmisc-23.4.tar.xz;psmisc-23.4
8_31;Gettext-0.21;gettext-0.21.tar.xz;gettext-0.21
8_32;Bison-3.8.2;bison-3.8.2.tar.xz;bison-3.8.2
8_33;Grep-3.7;grep-3.7.tar.xz;grep-3.7
8_34;Bash-5.1.16;bash-5.1.16.tar.gz;bash-5.1.16
