8_35;Libtool-2.4.6;libtool-2.4.6.tar.xz;libtool-2.4.6
8_36;GDBM-1.23;gdbm-1.23.tar.gz;gdbm-1.23
8_37;Gperf-3.1;gperf-3.1.tar.gz;gperf-3.1
8_38;Expat-2.4.6;expat-2.4.6.tar.xz;expat-2.4.6
8_39;Inetutils-2.2;inetutils-2.2.tar.xz;inetutils-2.2
8_40;Less-590;less-590.tar.gz;less-590
8_41;Perl-5.34.0;perl-5.34.0.tar.xz;perl-5.34.0
8_42;XML::Parser-2.46;XML-Parser-2.46.tar.gz;XML-Parser-2.46
8_43;Intltool-0.51.0;intltool-0.51.0.tar.gz;intltool-0.51.0
8_44;Autoconf-2.71;autoconf-2.71.tar.xz;autoconf-2.71
8_45;Automake-1.16.5;automake-1.16.5.tar.xz;automake-1.16.5
8_46;OpenSSL-3.0.1;openssl-3.0.1.tar.gz;openssl-3.0.1
8_47;Kmod-29;kmod-29.tar.xz;kmod-29
8_48;Libelf from Elfutils-0.186;elfutils-0.186.tar.bz2;elfutils-0.186
8_49;Libffi-3.4.2;libffi-3.4.2.tar.gz;libffi-3.4.2
8_50;Python-3.10.2;Python-3.10.2.tar.xz;Python-3.10.2
8_51;Ninja-1.10.2;ninja-1.10.2.tar.gz;ninja-1.10.2
8_52;Meson-0.61.1;meson-0.61.1.tar.gz;meson-0.61.1
8_53;Coreutils-9.0;coreutils-9.0.tar.xz;coreutils-9.0
8_54;Check-0.15.2;check-0.15.2.tar.gz;check-0.15.2
8_55;Diffutils-3.8;diffutils-3.8.tar.xz;diffutils-3.8
8_56;Gawk-5.1.1;gawk-5.1.1.tar.xz;gawk-5.1.1
8_57;Findutils-4.9.0;findutils-4.9.0.tar.xz;findutils-4.9.0
8_58;Groff-1.22.4;groff-1.22.4.tar.gz;groff-1.22.4
8_59;GRUB-2.06;grub-2.06.tar.xz;grub-2.06
8_60;Gzip-1.11;gzip-1.11.tar.xz;gzip-1.11
8_61;IPRoute2-5.16.0;iproute2-5.16.0.tar.xz;iproute2-5.16.0
8_62;Kbd-2.4.0;kbd-2.4.0.tar.xz;kbd-2.4.0
8_63;Libpipeline-1.5.5;libpipeline-1.5.5.tar.gz;libpipeline-1.5.5
8_64;Make-4.3;make-4.3.tar.gz;make-4.3
8_65;Patch-2.7.6;patch-2.7.6.tar.xz;patch-2.7.6
8_66;Tar-1.34;tar-1.34.tar.xz;tar-1.34
8_67;Texinfo-6.8;texinfo-6.8.tar.xz;texinfo-6.8
8_68;Vim-8.2.4383;vim-8.2.4383.tar.gz;vim-8.2.4383
8_69;Eudev-3.2.11;eudev-3.2.11.tar.gz;eudev-3.2.11
8_70;Man-DB-2.10.1;man-db-2.10.1.tar.xz;man-db-2.10.1
8_71;Procps-ng-3.3.17;procps-ng-3.3.17.tar.xz;procps-3.3.17
8_72;Util-linux-2.37.4;util-linux-2.37.4.tar.xz;util-linux-2.37.4
8_73;E2fsprogs-1.46.5;e2fsprogs-1.46.5.tar.gz;e2fsprogs-1.46.5
8_74;Sysklogd-1.5.1;sysklogd-1.5.1.tar.gz;sysklogd-1.5.1
8_75;Sysvinit-3.01;sysvinit-3.01.tar.xz;sysvinit-3.01
